,45,96,63.75,142.5,232.5,176.25
0,8.24,27.08,17.99,9.98,27.35,26.97
10,7.81,26.81,17.52,5.79,27.12,16
20,6.84,26.51,17.13,5.69,26.37,16.33
30,6.31,26.18,12.28,5.6,26.55,16.4
40,5.85,25.832,12.31,5.5,26.39,16.37
50,5.38,25.52,12.14,5.4,26.24,16.35
60,4.92,25.24,11.98,5.3,26.07,10840
70,4.48,24.82,11.73,5.15,25.91,10.92
80,4.09,24.64,11.54,5.05,25.78,10.9
90,3.63,24.35,11.32,4.91,25.63,10.84
100,3.22,24.28,11.12,4.78,25.47,10.8
110,,24,10.87,4.63,25.33,10.7
120,,23.76,10.65,4.49,25.18,10.64
130,,23.45,10.41,4.33,25.04,10.54
140,,23.2,10.1,4.2,24.89,10.45
150,,22.93,,4.05,24.75,10.35
160,,22.65,,3.88,24.62,10.25
170,,22.43,,3.75,24.47,10.14
180,,22.18,,3.56,24.33,10.06
190,,21.92,,3.42,24.2,9.98
200,,21.69,,3.3,24.06,9.86
210,,,,,23.93,9.8
220,,,,,23.8,
230,,,,,23.66,
